"","Name","TransactionDate","Value"
"1","182 Day T-bill","01-Apr-19",8.204
"2","182 Day T-bill","02-Apr-19",8.204
"3","182 Day T-bill","03-Apr-19",8.204
"4","182 Day T-bill","04-Apr-19",8.204
"5","182 Day T-bill","05-Apr-19",8.204
"6","182 Day T-bill","06-Apr-19",8.204
"7","182 Day T-bill","07-Apr-19",8.204
"8","182 Day T-bill","08-Apr-19",8.189
"9","182 Day T-bill","09-Apr-19",8.189
"10","182 Day T-bill","10-Apr-19",8.189
"11","182 Day T-bill","11-Apr-19",8.189
"12","182 Day T-bill","12-Apr-19",8.189
"13","182 Day T-bill","13-Apr-19",8.189
"14","182 Day T-bill","14-Apr-19",8.189
"15","182 Day T-bill","15-Apr-19",8.09
"16","182 Day T-bill","16-Apr-19",8.09
"17","182 Day T-bill","17-Apr-19",8.09
"18","182 Day T-bill","18-Apr-19",8.09
"19","182 Day T-bill","19-Apr-19",8.09
"20","182 Day T-bill","20-Apr-19",8.09
"21","182 Day T-bill","21-Apr-19",8.09
"22","182 Day T-bill","22-Apr-19",8.042
"23","182 Day T-bill","23-Apr-19",8.042
"24","182 Day T-bill","24-Apr-19",8.042
"25","182 Day T-bill","25-Apr-19",8.042
"26","182 Day T-bill","26-Apr-19",8.042
"27","182 Day T-bill","27-Apr-19",8.042
"28","182 Day T-bill","28-Apr-19",8.042
"29","182 Day T-bill","29-Apr-19",8.006
"30","182 Day T-bill","30-Apr-19",8.006
