"","Name","TransactionDate","Value","perf"
"1","182 Day T-bill","01-Apr-19",8.204,0.00611653715062821
"2","182 Day T-bill","02-Apr-19",8.204,0.00611653715062821
"3","182 Day T-bill","03-Apr-19",8.204,0.00611653715062821
"4","182 Day T-bill","04-Apr-19",8.204,0.00611653715062821
"5","182 Day T-bill","05-Apr-19",8.204,0.00611653715062821
"6","182 Day T-bill","06-Apr-19",8.204,0.00611653715062821
"7","182 Day T-bill","07-Apr-19",8.204,0.00611653715062821
"8","182 Day T-bill","08-Apr-19",8.189,0.00611202883087492
"9","182 Day T-bill","09-Apr-19",8.189,0.00611202883087492
"10","182 Day T-bill","10-Apr-19",8.189,0.00611202883087492
"11","182 Day T-bill","11-Apr-19",8.189,0.00611202883087492
"12","182 Day T-bill","12-Apr-19",8.189,0.00611202883087492
"13","182 Day T-bill","13-Apr-19",8.189,0.00611202883087492
"14","182 Day T-bill","14-Apr-19",8.189,0.00611202883087492
"15","182 Day T-bill","15-Apr-19",8.09,0.00608208857554882
"16","182 Day T-bill","16-Apr-19",8.09,0.00608208857554882
"17","182 Day T-bill","17-Apr-19",8.09,0.00608208857554882
"18","182 Day T-bill","18-Apr-19",8.09,0.00608208857554882
"19","182 Day T-bill","19-Apr-19",8.09,0.00608208857554882
"20","182 Day T-bill","20-Apr-19",8.09,0.00608208857554882
"21","182 Day T-bill","21-Apr-19",8.09,0.00608208857554882
"22","182 Day T-bill","22-Apr-19",8.042,0.0060674548329307
"23","182 Day T-bill","23-Apr-19",8.042,0.0060674548329307
"24","182 Day T-bill","24-Apr-19",8.042,0.0060674548329307
"25","182 Day T-bill","25-Apr-19",8.042,0.0060674548329307
"26","182 Day T-bill","26-Apr-19",8.042,0.0060674548329307
"27","182 Day T-bill","27-Apr-19",8.042,0.0060674548329307
"28","182 Day T-bill","28-Apr-19",8.042,0.0060674548329307
"29","182 Day T-bill","29-Apr-19",8.006,0.006056428595834
"30","182 Day T-bill","30-Apr-19",8.006,0.006056428595834
